Dataset,Model,MSE_mean,MSE_std
ETTh1,DLinear,0.5474290450414022,0.011276645335389567
ETTh1,NLinear,0.8268203139305115,0.009957493868416005
ETTh1,RLinear,0.5604704022407532,0.013818223053867701
ETTh1,Bayes_DLinear,1.9451512495676677,0.08294762318645803
ETTh1,Bayes_NLinear,1.4705984989802043,0.13006984518139275
ETTh1,Bayes_RLinear,0.9351358413696289,0.033824392087897115
ETTh2,DLinear,0.27862780292828876,0.0376886886975558
ETTh2,NLinear,0.2944690982500712,0.0055879607463546555
ETTh2,RLinear,0.2229223052660624,0.0019668812503901576
ETTh2,Bayes_DLinear,1.4225102663040161,0.09844705661454113
ETTh2,Bayes_NLinear,0.5047074357668558,0.010285751445745256
ETTh2,Bayes_RLinear,0.35669023791948956,0.0038145892449830856
ETTm1,DLinear,0.39985864361127216,0.024248861512230723
ETTm1,NLinear,0.5578095316886902,0.010674968542336963
ETTm1,RLinear,0.4207085867722829,0.0030937195307807258
ETTm1,Bayes_DLinear,1.6971333821614583,0.09272339564609108
ETTm1,Bayes_NLinear,0.9616153438886007,0.04077585234853917
ETTm1,Bayes_RLinear,0.7188219626744589,0.007485527791902546
ETTm2,DLinear,0.24722987910111746,0.04837488456786105
ETTm2,NLinear,0.12958654016256332,0.007810521637833083
ETTm2,RLinear,0.09363054732481639,0.0027312634688867674
ETTm2,Bayes_DLinear,1.7054643630981445,0.13651478418096447
ETTm2,Bayes_NLinear,0.22579758862654367,0.009580274907783003
ETTm2,Bayes_RLinear,0.1510779211918513,0.006012471623574324
Electricity,DLinear,0.6441601912180582,0.008139746828994729
Electricity,NLinear,1.4543700218200684,0.04486627821028939
Electricity,RLinear,0.8487029671669006,0.01814155533861805
Electricity,Bayes_DLinear,2.0269908507665,0.04973249257280287
Electricity,Bayes_NLinear,2.87759002049764,0.3075880210641135
Electricity,Bayes_RLinear,1.6435395081837971,0.010435423546026595
Weather,DLinear,0.5870944857597351,0.02403798929854816
Weather,NLinear,0.891351600488027,0.038817539497109574
Weather,RLinear,0.5906093915303549,0.008428570250990542
Weather,Bayes_DLinear,1.4392907619476318,0.11597821121997692
Weather,Bayes_NLinear,1.3613362709681194,0.06500021416949918
Weather,Bayes_RLinear,0.8336090445518494,0.021326286136592106
Traffic,DLinear,0.7487941185633341,0.010550469847239426
Traffic,NLinear,2.064799706141154,0.06734586578470875
Traffic,RLinear,1.1576748291651409,0.022188335444483114
Traffic,Bayes_DLinear,2.3327794869740806,0.09527692007193404
Traffic,Bayes_NLinear,4.244242350260417,0.37447119252348876
Traffic,Bayes_RLinear,2.2786316871643066,0.036358918404088746
Exchange_Rate,DLinear,0.9080832203229269,0.21059872680455186
Exchange_Rate,NLinear,0.18435396750768027,0.0035174884228938706
Exchange_Rate,RLinear,0.23035197953383127,0.005474362917773991
Exchange_Rate,Bayes_DLinear,3.4045797189076743,0.2575474751044345
Exchange_Rate,Bayes_NLinear,0.24506530165672302,0.004706326921600735
Exchange_Rate,Bayes_RLinear,0.26279258728027344,0.010970315064071106
